,1_i,2_i,1_r,2_r,3_r,4_r,5_r,Wind,Solar,Gas Load
2018-01-01 00:00:00,53.58038793940059,29.397747544672324,28.82338334710098,49.60140376805074,54.14976151501915,55.74310493485628,31.35007166832547,0.0,0.0,2203.0909750125365
2018-01-01 01:00:00,45.3790537844557,32.39333957301594,23.403487419946305,39.05815289338085,42.8667437280046,52.33952056037783,22.73431206915376,0.0,0.0,2470.278378900329
2018-01-01 02:00:00,48.01292396084047,34.0193604710109,25.58785998261048,38.044516914999534,39.85577761678493,47.44412687144504,14.626289937612013,0.0,0.0,2442.4830737205434
2018-01-01 03:00:00,48.69052255420152,29.415127067627186,21.333448227096905,26.913877415566557,48.65814881447572,44.88127811608078,15.951297349098034,0.0,0.0,2623.810306976971
2018-01-01 04:00:00,58.36291466080704,26.887317054537014,36.558599157714525,35.976467706265275,42.14667564430277,69.14765009553,23.15172258676682,0.0,0.0,2674.855040436215
2018-01-01 05:00:00,70.9771838705475,45.97345229313306,61.40676827859185,51.02041773069898,59.38475390193781,85.75389570667993,31.28055860645303,0.0,0.0,2277.373453074424
2018-01-01 06:00:00,106.03081392658768,62.25670439621293,85.566894148122,78.02995722963874,80.69387882974192,121.49276649928592,57.23897313587359,0.0,0.0,2534.60116691779
2018-01-01 07:00:00,125.71971408761836,84.3370210554383,91.37294871378012,103.6715354092462,115.44541714753512,130.94720623125704,90.39843484635637,0.0,0.0752592677807004,2772.346967874927
2018-01-01 08:00:00,147.61669480543773,113.78098322356227,86.27190709355393,111.00816604142145,116.04643842309363,101.83510517745304,95.23904885271315,0.0,0.2587579930722075,2247.007162716412
2018-01-01 09:00:00,162.02529082376375,118.9103039555591,74.47806438191049,99.89602951758522,100.01205596527984,94.6392038995446,81.9706289247988,0.0,0.386566624703994,2334.0717627215618
2018-01-01 10:00:00,158.04158782676916,132.5205928755978,61.69847786586264,78.26055323643169,85.59913859877805,89.88687184296515,59.67882334976929,0.0,0.4247654356677432,2228.3678097650045
2018-01-01 11:00:00,160.444116603564,142.59828285464508,72.48290309886849,66.1788184201266,79.08963563976616,100.37660421765136,56.61298735701328,0.0,0.5702075583227566,2369.27162211767
2018-01-01 12:00:00,156.50529381862543,141.56954672143263,65.94092072540165,75.3401360009377,80.61319343751316,93.63591870901084,60.98804058284375,0.0,0.6081434036220864,2628.2552477259483
2018-01-01 13:00:00,154.75622533759565,131.31572527495695,65.09307594279255,82.66324937072925,78.1969350470807,95.955674425195,63.15073766409812,0.0,0.5068661179734588,2057.440576917579
2018-01-01 14:00:00,145.68713346737275,146.5941078298442,62.06982433225592,78.81655172982761,91.92397473693023,91.16229987621696,67.07780633591587,0.0,0.3532083936598385,2455.662524937085
2018-01-01 15:00:00,145.1033446481685,127.7106999522048,72.71010992333683,76.05516197185969,88.81382923133074,101.284235150107,54.91661936204247,0.0,0.1373711373168976,2504.369875373921
2018-01-01 16:00:00,149.96971757992753,133.92724460429645,76.51278237168523,82.42005853827081,84.58245620279926,114.330641303891,72.43327689998257,0.0,0.032210440042195,2454.6344251120754
2018-01-01 17:00:00,133.52601547963164,130.62324113220075,111.44681181565925,90.66675247225166,107.74239932212036,142.7536857758373,85.01986519164782,0.0,0.0,2176.2441890337923
2018-01-01 18:00:00,129.63051807888812,132.06289996669975,123.27249125775371,124.67201421182526,129.83023913179366,148.83917582909243,115.79864967389403,0.0,0.0,2266.6676566262195
2018-01-01 19:00:00,92.9741456251183,100.87733788937604,122.08801109941692,143.43760386439095,145.93089507117384,142.2025234733124,123.59875667797972,0.0,0.0,2194.753852463997
2018-01-01 20:00:00,62.85173658076992,78.18870392497506,113.71120136207183,138.7052570568785,138.06310622904886,127.7367003749856,120.40496861124694,0.0,0.0,2551.9269576215365
2018-01-01 21:00:00,59.81684219300765,53.20258115507337,82.43012380579253,112.89219450658116,125.43942683634133,110.40486680155284,97.61640271613088,0.0,0.0,2297.679783322634
2018-01-01 22:00:00,50.00864407931737,44.0188661319796,65.3675893765551,101.07630799267984,92.73227273615144,77.28210684287279,83.1210491482434,0.0,0.0,2053.9135002921494
2018-01-01 23:00:00,44.90140727392176,37.7706628017782,40.239887589698334,81.25128984792833,85.0848308461984,59.10658089075051,61.08865284869471,0.0,0.0,2268.503498830428
2018-01-02 00:00:00,59.77076706664268,27.530587232894288,26.080870928206487,52.66809522940424,49.28710845369564,51.48531937267369,25.25726954541464,0.0,0.0,2398.59046729454
2018-01-02 01:00:00,48.5693555131956,28.923691094640187,27.98321306853532,35.35082577347643,33.89822070668804,55.116409915899645,22.218783267472567,0.0,0.0,2126.3278952932483
2018-01-02 02:00:00,38.96545505625783,26.602796122127767,20.23684195111421,33.68158214214471,38.64186329951599,60.54386208409579,19.985140880645517,0.0,0.0,2502.233713755578
2018-01-02 03:00:00,51.642746067674885,30.684285528680537,24.0109925195407,35.61098219142951,40.82876682368373,56.39889451607856,15.817964646188374,0.0,0.0,2620.98005978949
2018-01-02 04:00:00,62.79398024121399,38.24344810333609,33.263111894073255,38.45828455528921,37.09248318630992,54.73109561854146,26.398095855790675,0.0,0.0,2646.9686088155995
2018-01-02 05:00:00,68.20955768880197,37.39294560794409,50.35876008187891,53.11591414512157,47.38647779373076,85.75351164251246,29.99709889486753,0.0,0.0,2390.84833052306
2018-01-02 06:00:00,106.99243013132724,62.946508551304255,86.52347700020985,74.48109176899811,74.42651201510562,122.4358420326968,54.5936972178538,0.0,0.0,2462.61397605706
2018-01-02 07:00:00,127.79282273070356,86.0533196098155,97.1229570735752,105.7338103486196,115.14504815123394,132.20439308228887,91.23981144185666,0.0,0.0058631431132048,2602.8532759269897
2018-01-02 08:00:00,147.0638867103205,104.4626299200108,93.42407868204108,112.6965433675114,115.31247790850604,98.56097813808908,92.84242227174522,0.0,0.0361613577777106,2562.3570241978555
2018-01-02 09:00:00,151.32526373532528,123.8018883769618,66.66759692088797,100.1714388167284,102.24435059260904,91.46641155540944,79.81765739001176,0.0,0.0406858937198927,2242.5906694894884
2018-01-02 10:00:00,161.3424010566979,131.6329015808039,53.631610356412025,83.00337294486411,86.85321456507842,85.57160556515693,66.60492829926051,0.0,0.078835442070825,2391.0058163179037
2018-01-02 11:00:00,152.66519436601152,142.4421834361961,64.09863052730168,67.3552444528518,75.52442075158552,95.35466423753137,55.57019870455353,0.0,0.0683799841476009,2612.2890904170267
2018-01-02 12:00:00,159.74991898348634,134.74850136940802,65.87574526708522,72.12378028501702,86.2403672224651,87.45340006092619,62.76223458900464,0.0,0.0768553495526817,2674.253433535021
2018-01-02 13:00:00,164.79866029913006,133.9815021155717,62.600269758008245,84.72130190546706,85.07761433599335,91.50926794173276,66.15262372397083,0.0,0.2156356704285787,2249.1755676448165
2018-01-02 14:00:00,149.5411164862322,135.65760552026455,66.97662598101249,76.43821869344448,93.42375005841416,84.52413105564102,72.30297784581376,0.0,0.1344399728108302,2403.904998988477
2018-01-02 15:00:00,149.53448850192413,136.5048592943325,65.87357521210293,80.38579536000316,89.69723428242925,99.03555328084056,57.14755906212399,0.0,0.0855213534375619,2407.7823675597456
2018-01-02 16:00:00,166.49158848246816,133.01152536760924,78.4269682634395,85.37535012839412,83.87683568633759,111.8214978476463,73.10866066920045,0.0,0.039858264425208,2552.6613899222543
2018-01-02 17:00:00,145.45935914017883,135.11706381884247,114.86030390957548,98.04334180268523,101.19286368193426,147.0195045933507,77.97478526103995,0.0,0.0,2306.6143953734136
2018-01-02 18:00:00,123.06898982812407,127.36223438840396,130.39437931003275,128.4630804503367,136.6726794760789,147.97932279993097,118.45885575542997,0.0,0.0,2073.6989967406903
2018-01-02 19:00:00,97.442207429232,95.24449032945115,127.83598394680062,141.67771909261972,150.8521925785352,147.58097314216567,126.90193659316444,0.0,0.0,2558.676902269365
2018-01-02 20:00:00,71.41724225267232,73.40187933026257,101.98360266050126,137.8366714920076,138.19868628979197,133.77354565124844,123.3831365812148,0.0,0.0,2729.4703628794846
2018-01-02 21:00:00,61.96297871299925,52.616395022108016,81.16908333630604,112.04853886538574,123.38677955129052,108.4654016482688,98.0410829242183,0.0,0.0,2293.8570286817826
2018-01-02 22:00:00,42.379377677724136,31.09483477780644,69.4199956365057,95.75416492516652,107.72878465063052,84.34059172504674,78.8470323681882,0.0,0.0,2339.416858822042
2018-01-02 23:00:00,39.2704514690244,32.46455160819922,34.85887717259353,85.79546804607074,79.25231799939574,61.76977844294909,52.21899184795682,0.0,0.0,2265.3006975346125
2018-01-03 00:00:00,54.436883016431125,32.483590648164224,25.89322403533441,51.30289751511016,43.25199178281756,46.92108952337034,29.55181771462648,0.0,0.0,2297.759749595677
2018-01-03 01:00:00,44.92623269839612,29.63706217852212,20.41400234853367,41.96478438342422,40.6273153281716,43.40326377701415,23.19891671622924,0.0,0.0,2216.364239409603
2018-01-03 02:00:00,54.170430281280126,33.53416576652374,26.995528588136203,38.19135731061549,37.31877547683315,40.45481053705443,22.993914249602845,0.0,0.0,2566.9516235383503
2018-01-03 03:00:00,55.0013610298766,29.76414281432028,27.71056473497807,37.87848958256375,45.623291612277086,44.702440244689015,17.954204389045753,0.0,0.0,2494.639845219685
2018-01-03 04:00:00,69.08581939319481,30.640570165548315,29.383645707486597,38.10791187749984,38.04429254565042,61.659694562286894,18.290232173394248,0.0,0.0,2577.086393965442
2018-01-03 05:00:00,67.1055304453663,35.927010596058025,49.77688516375789,46.45428235887709,49.94905731407091,89.25251819502792,33.28409866656087,0.0,0.0,2398.628337108259
2018-01-03 06:00:00,95.641027570108,64.34662200788023,84.62114941714717,76.87534160445388,81.75146817113736,123.38894048135364,59.85955824926,0.0,0.0,2743.3772677267
2018-01-03 07:00:00,117.6531720224564,96.19018822879934,91.87285761833246,102.27472167085824,124.21948518298213,119.26816113613232,91.52478561737271,0.0,0.0129029079807615,2720.5611190034424
2018-01-03 08:00:00,146.66267991833527,116.61246852870045,90.8333877857044,109.381267947511,114.32882228586224,113.73742047108011,98.23082608279825,13.72671954473422,0.0928239345119679,2494.3810090326806
2018-01-03 09:00:00,156.09903836081668,135.2341843058913,73.57788713231284,94.6946103154737,102.7069682084432,83.2939211994135,85.13554787768345,52.39131940246367,0.0356003557596387,2357.376767757248
2018-01-03 10:00:00,155.09064103920397,128.55627722290092,55.80767142310508,83.41223008569878,93.31623667041325,85.70244933246482,63.16214943296316,83.05198402666645,0.1133458234780434,1973.5664557012185
2018-01-03 11:00:00,149.31247586817668,135.36386160893665,70.57290829463008,68.58213450578091,78.65040070616432,96.3182428820647,49.23224320180947,44.65839943091776,0.0324189223920845,2225.8252674233963
2018-01-03 12:00:00,156.47855401716092,134.84827927618534,66.31795759475676,82.87445471161735,88.10603644459408,89.57440843464485,62.666807773771154,0.0,0.0238898748691959,2544.0866048107114
